nome;energia_kcal;carboidrato_total_g;proteina_g;lipidios_g;fibra_alimentar_g
Abacate, polpa,in natura, Brasil;76.0;5.84;0.0;6.21;4.03
Abacaxi, cozido, caramelado;136.0;33.3;0.6;0.26;0.84
Abacaxi, grelhado, c/ cobertura de chocolate;148.0;21.3;1.69;6.43;1.1
Abacaxi, polpa, congelada, Brasil;33.0;7.8;0.0;0.11;0.33
Abacaxi, polpa, desidratada;279.0;64.9;0.0;1.86;6.24
Abacaxi, polpa, grelhado, c/ canela;51.0;12.0;0.7;0.34;1.38
Abacaxi, polpa,in natura, Brasil;50.0;11.6;0.0;0.33;1.12
Abiu,in natura, Brasil;66.0;14.9;0.0;0.7;1.7
Abóbora, cabotian (japonesa), c/ quiabo, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal;48.0;8.22;1.51;1.61;2.79
Abóbora, cabotian (japonesa), s/ casca, cozida, drenada, s/ óleo, s/ sal, Brasil;50.0;10.8;0.0;0.73;2.46
Abóbora, cabotian (japonesa), s/ casca, s/sementes, crua, Brasil;41.0;8.36;0.0;0.54;2.17
Abóbora, menina brasileira, s/ casca, s/ sementes, crua, Brasil;13.0;3.34;0.0;;1.17
Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal;30.0;5.98;0.39;0.8;1.55
Abóbora, moranga, refogada (c/ óleo, cebola e alho), s/ sal;30.0;5.98;0.39;0.8;1.55
Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, c/ sal;32.0;4.78;1.38;1.33;2.5
Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, s/ sal;33.0;5.0;1.42;1.34;2.58
Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal, Brasil;26.0;5.92;0.0;0.21;3.59
Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, s/ sal, Brasil;26.0;5.93;0.0;0.21;3.6
Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, c/ sal;38.0;3.89;1.18;2.52;2.36
Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, s/ sal;38.0;3.9;1.19;2.53;2.36
Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal;17.0;3.98;1.21;0.14;2.41
Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal, Brasil;17.0;3.99;0.0;0.14;2.42
Abóbora, moranga, s/ casca, s/ sementes, crua, Brasil;16.0;3.66;0.0;0.13;2.22
Abóbora, paulista, crua, Brasil;30.0;7.87;0.0;0.14;2.61
Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal;26.0;6.65;0.73;0.13;2.5
Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal, Brasil;26.0;6.67;0.0;0.13;2.51
Abóbora, pescoço, s/ casca, s/ sementes, crua, Brasil;24.0;6.12;0.0;0.12;2.3
Abóbora, s/ casca, s/ sementes, crua, Brasil;22.0;5.03;0.0;0.18;2.02
Abobrinha recheada, c/ sal;88.0;4.36;8.74;4.26;1.5
Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, c/ sal;131.0;12.4;3.78;7.8;2.02
Abobrinha, italiana, c/ casca, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, s/ sal;131.0;12.4;3.78;7.8;2.02
Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, c/ sal;35.0;2.75;0.96;2.61;1.47
Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, s/ sal;35.0;2.76;0.96;2.61;1.47
Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal;14.0;2.82;0.99;0.23;1.51
Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, s/ sal, Brasil;14.0;2.82;0.0;0.23;1.51
Abobrinha, italiana, c/ casca, crua, Brasil;17.0;3.71;0.0;0.12;1.28
Abobrinha, italiana, c/ casca, grelhada, s/ óleo, c/ sal;27.0;5.76;1.56;0.19;1.99
Abobrinha, italiana, c/ casca, grelhada, s/ óleo, s/ sal, Brasil;27.0;5.79;0.0;0.19;2.0
Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal;26.0;4.19;1.07;0.82;1.38
Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), s/ sal;26.0;4.19;1.07;0.82;1.38
Abricó (damasco),in natura, Brasil;57.0;13.5;0.0;1.0;3.5
Açafrão, pistilo,in natura;352.0;65.4;0.0;5.85;3.9
Açaí, polpa (média de amostras), Brasil;68.0;7.66;0.0;5.01;5.89
Açaí, polpa, Brasil;57.0;5.62;0.0;4.58;4.91
Açaí, polpa, c/ xarope de guaraná, c/ cupuaçu, polpa;101.0;18.9;0.75;2.89;1.69
Açaí, polpa, c/ xarope de guaraná, glucose, c/ granola caseira;177.0;29.6;2.71;5.94;2.94
Açaí, polpa, com xarope de guaraná e glucose;118.0;21.5;0.72;3.66;1.72
Acarajé, c/ sal;270.0;19.0;8.31;19.8;9.32
Acarajé, s/ sal;270.0;19.1;8.35;19.9;9.36
Acelga, cozida, drenada, s/ óleo, c/ sal, Brasil;22.0;4.07;0.0;0.11;1.14
Acelga, cozida, drenada, s/ óleo, s/ sal, Brasil;22.0;4.39;0.0;0.11;1.14
Acelga, crua, Brasil;23.0;4.63;0.0;0.11;1.12
Acelga, refogada (c/ óleo, cebola e alho), c/ sal;35.0;4.73;1.6;1.32;1.26
Acelga, refogada, (c/ óleo, cebola e alho), s/ sal;36.0;5.05;1.6;1.32;1.26
Acerola, madura, polpa, Brasil;30.0;6.89;0.0;0.38;1.75
Achocolatado, c/flocos ovomaltine;373.0;93.3;0.0;0.0;0.0
Achocolatado, em pó (média diferentes amostras), Brasil;387.0;91.6;4.07;2.36;3.78
Achocolatado, em pó, Brasil;390.0;88.2;5.0;3.0;5.0
Achocolatado, em pó, Brasil;398.0;93.3;3.0;1.92;2.45
Achocolatado, em pó, sem adição de açúcar;362.0;71.9;0.0;3.0;7.5
Açúcar (média de diferentes tipos), Brasil;395.0;98.3;0.0;0.02;
Açúcar, cristal, Brasil;400.0;99.6;0.0;;0.0
Açúcar, light (20% sacarose + edulcorante), Brasil;80.0;19.9;0.0;;0.0
Açúcar, light (50% sacarose ou maltodextrina + edulcorante), Brasil;198.0;49.4;0.0;;0.0
Açúcar, mascavo, Brasil;382.0;94.5;0.0;0.09;0.0
